old_blog_file_src_pages_blog,corresponding_content_blog_file_src_content_blog,match_type
7-step-locker-room-planning-process.astro,7-step-locker-room-planning-process.mdx,converted_to_mdx
basketball-lockers-complete-guide-to-custom-athletic-storage-solutions.astro,basketball-lockers-complete-guide-to-custom-athletic-storage-solutions.mdx,exact
best-sports-equipment-storage-solution.astro,best-sports-equipment-storage-solution.mdx,exact
building-championship-culture.astro,building-a-championship-team-culture.mdx,near
college-athletic-locker-guide.astro,college-athletic-locker-guide.mdx,converted_to_mdx
college-facilities-locker-solution.astro,college-facilities-locker-solution.mdx,converted_to_mdx
college-sports-lockers-buyer-guide.astro,college-sports-lockers-buyer-guide.mdx,exact
complete-guide-custom-sports-lockers.astro,complete-guide-custom-sports-lockers.mdx,converted_to_mdx
complete-guide-customizing-sports-lockers.astro,complete-guide-customizing-sports-lockers.mdx,converted_to_mdx
football-locker-room-design-guide.astro,football-locker-room-design-guide.mdx,exact
football-lockers-complete-guide-to-custom-athletic-storage-solutions.astro,football-lockers-complete-guide-to-custom-athletic-storage-solutions.mdx,exact
hockey-locker-room-setup-complete-guide.astro,hockey-locker-room-setup-complete-guide.mdx,converted_to_mdx
hockey-lockers-complete-guide-to-custom-athletic-storage-solutions.astro,hockey-lockers-complete-guide-to-custom-athletic-storage-solutions.mdx,exact
hockey-wood-lockers-complete-guide.astro,hockey-wood-lockers-complete-2025-guide-for-ice-hockey-teams.mdx,near
how-to-choose-sports-lockers-2025.astro,how-to-choose-sports-lockers.mdx,near
locker-room-installation-guide.astro,locker-room-installation-guide.mdx,converted_to_mdx
locker-rooms-that-win-recruits.astro,locker-rooms-that-win-recruits.mdx,converted_to_mdx
lockers-for-sale.astro,lockers-for-sale.mdx,exact
maintaining-wood-lockers.astro,maintaining-wood-lockers.mdx,converted_to_mdx
sport-specific-locker-design.astro,sport-specific-locker-design.mdx,converted_to_mdx
true-cost-sports-lockers-roi.astro,true-cost-sports-lockers-roi.mdx,converted_to_mdx
wood-vs-metal-sports-lockers-comparison.astro,wood-vs-metal-sports-lockers-complete-2025-comparison-guide.mdx,near
why-modular-design-matters.astro,why-modular-design-matters.mdx,converted_to_mdx
